interests,category,preferred_difficulty,past_experience,preferred_language,recommended_course
World Literature,literature,beginner,intermediate,English,World Literature beginner English
Ruby,programming,beginner,none,English,Ruby beginner English
Electricity and Magnetism,physics,advanced,intermediate,English,Electricity and Magnetism advanced English
Inorganic Chemistry,chemistry,beginner,advanced,Hindi,Inorganic Chemistry beginner Hindi
Inorganic Chemistry,chemistry,advanced,basic,English,Inorganic Chemistry advanced English
Java,programming,intermediate,basic,Hindi,Java intermediate Hindi
Optics,physics,beginner,advanced,Hindi,Optics beginner Hindi
Modern Physics,physics,beginner,advanced,English,Modern Physics beginner English
Algebra,math,advanced,intermediate,Hindi,Algebra advanced Hindi
Calculus,math,advanced,basic,Hindi,Calculus advanced Hindi
C++,programming,beginner,intermediate,English,C++ beginner English
Optics,physics,beginner,intermediate,Hindi,Optics beginner Hindi
JavaScript,programming,beginner,advanced,Hindi,JavaScript beginner Hindi
PHP,programming,intermediate,none,Hindi,PHP intermediate Hindi
Thermodynamics,physics,advanced,advanced,English,Thermodynamics advanced English
Ruby,programming,advanced,intermediate,Hindi,Ruby advanced Hindi
Data Mining,data science,intermediate,advanced,Hindi,Data Mining intermediate Hindi
Java,programming,intermediate,basic,Hindi,Java intermediate Hindi
JavaScript,programming,intermediate,none,English,JavaScript intermediate English
Mechanics,physics,intermediate,advanced,Hindi,Mechanics intermediate Hindi
Machine Learning Basics,machine learning,intermediate,advanced,Hindi,Machine Learning Basics intermediate Hindi
Number Theory,math,advanced,advanced,Hindi,Number Theory advanced Hindi
Organic Chemistry,chemistry,beginner,basic,Hindi,Organic Chemistry beginner Hindi
Optics,physics,beginner,basic,English,Optics beginner English
Inorganic Chemistry,chemistry,intermediate,none,Hindi,Inorganic Chemistry intermediate Hindi
Drama,literature,beginner,intermediate,English,Drama beginner English
Python,programming,beginner,intermediate,English,Python beginner English
Inorganic Chemistry,chemistry,beginner,advanced,Hindi,Inorganic Chemistry beginner Hindi
Inorganic Chemistry,chemistry,advanced,intermediate,English,Inorganic Chemistry advanced English
Data Mining,data science,advanced,intermediate,English,Data Mining advanced English
R,programming,intermediate,intermediate,Hindi,R intermediate Hindi
Drama,literature,advanced,none,Hindi,Drama advanced Hindi
Natural Language Processing,machine learning,intermediate,none,Hindi,Natural Language Processing intermediate Hindi
Organic Chemistry,chemistry,intermediate,advanced,English,Organic Chemistry intermediate English
World Wars,history,intermediate,intermediate,English,World Wars intermediate English
Python,programming,advanced,none,English,Python advanced English
Data Visualization,data science,advanced,none,English,Data Visualization advanced English
Analytical Chemistry,chemistry,advanced,intermediate,Hindi,Analytical Chemistry advanced Hindi
World Literature,literature,advanced,none,English,World Literature advanced English
Data Analysis,data science,intermediate,basic,Hindi,Data Analysis intermediate Hindi
Computer Vision,machine learning,advanced,intermediate,Hindi,Computer Vision advanced Hindi
World Literature,literature,beginner,advanced,English,World Literature beginner English
Ancient History,history,intermediate,none,English,Ancient History intermediate English
World Literature,literature,beginner,intermediate,English,World Literature beginner English
Geometry,math,beginner,advanced,English,Geometry beginner English
Modern Physics,physics,intermediate,basic,English,Modern Physics intermediate English
Go,programming,intermediate,basic,English,Go intermediate English
Calculus,math,beginner,intermediate,Hindi,Calculus beginner Hindi
Medieval History,history,beginner,none,English,Medieval History beginner English
Computer Vision,machine learning,beginner,intermediate,English,Computer Vision beginner English
Go,programming,advanced,none,Hindi,Go advanced Hindi
English Literature,literature,beginner,intermediate,Hindi,English Literature beginner Hindi
Inorganic Chemistry,chemistry,advanced,intermediate,Hindi,Inorganic Chemistry advanced Hindi
Ancient History,history,beginner,advanced,English,Ancient History beginner English
Natural Language Processing,machine learning,intermediate,intermediate,Hindi,Natural Language Processing intermediate Hindi
C++,programming,beginner,none,English,C++ beginner English
Data Mining,data science,advanced,none,Hindi,Data Mining advanced Hindi
Java,programming,intermediate,intermediate,English,Java intermediate English
Ancient History,history,beginner,none,English,Ancient History beginner English
Java,programming,beginner,advanced,Hindi,Java beginner Hindi
Ancient History,history,intermediate,advanced,English,Ancient History intermediate English
JavaScript,programming,advanced,intermediate,Hindi,JavaScript advanced Hindi
Data Mining,data science,advanced,basic,Hindi,Data Mining advanced Hindi
R,programming,intermediate,basic,Hindi,R intermediate Hindi
Deep Learning,machine learning,advanced,advanced,Hindi,Deep Learning advanced Hindi
Medieval History,history,beginner,advanced,English,Medieval History beginner English
Go,programming,beginner,intermediate,Hindi,Go beginner Hindi
Indian History,history,advanced,basic,English,Indian History advanced English
Electricity and Magnetism,physics,advanced,advanced,English,Electricity and Magnetism advanced English
Medieval History,history,advanced,basic,Hindi,Medieval History advanced Hindi
Python,programming,advanced,advanced,English,Python advanced English
Physical Chemistry,chemistry,intermediate,intermediate,English,Physical Chemistry intermediate English
Probability and Statistics,math,intermediate,intermediate,English,Probability and Statistics intermediate English
Big Data,data science,intermediate,advanced,English,Big Data intermediate English
Java,programming,beginner,advanced,Hindi,Java beginner Hindi
Natural Language Processing,machine learning,beginner,none,Hindi,Natural Language Processing beginner Hindi
PHP,programming,beginner,intermediate,English,PHP beginner English
Big Data,data science,advanced,advanced,Hindi,Big Data advanced Hindi
Medieval History,history,advanced,none,Hindi,Medieval History advanced Hindi
Indian History,history,intermediate,advanced,Hindi,Indian History intermediate Hindi
World Wars,history,intermediate,none,English,World Wars intermediate English
Physical Chemistry,chemistry,beginner,basic,Hindi,Physical Chemistry beginner Hindi
Mechanics,physics,intermediate,basic,English,Mechanics intermediate English
Big Data,data science,beginner,none,Hindi,Big Data beginner Hindi
Medieval History,history,beginner,basic,English,Medieval History beginner English
Thermodynamics,physics,advanced,intermediate,English,Thermodynamics advanced English
Medieval History,history,advanced,intermediate,Hindi,Medieval History advanced Hindi
Modern Physics,physics,intermediate,basic,Hindi,Modern Physics intermediate Hindi
American Literature,literature,beginner,intermediate,Hindi,American Literature beginner Hindi
Ruby,programming,advanced,intermediate,Hindi,Ruby advanced Hindi
Optics,physics,intermediate,none,Hindi,Optics intermediate Hindi
Medieval History,history,beginner,advanced,English,Medieval History beginner English
Electricity and Magnetism,physics,advanced,advanced,English,Electricity and Magnetism advanced English
Data Mining,data science,intermediate,none,Hindi,Data Mining intermediate Hindi
Go,programming,advanced,advanced,English,Go advanced English
English Literature,literature,beginner,none,Hindi,English Literature beginner Hindi
Number Theory,math,advanced,advanced,English,Number Theory advanced English
Optics,physics,advanced,none,Hindi,Optics advanced Hindi
C++,programming,intermediate,none,Hindi,C++ intermediate Hindi
Number Theory,math,intermediate,basic,English,Number Theory intermediate English
Poetry,literature,intermediate,advanced,Hindi,Poetry intermediate Hindi
Ancient History,history,advanced,basic,English,Ancient History advanced English
Java,programming,advanced,intermediate,Hindi,Java advanced Hindi
Java,programming,intermediate,none,Hindi,Java intermediate Hindi
Medieval History,history,beginner,intermediate,Hindi,Medieval History beginner Hindi
World Literature,literature,beginner,basic,English,World Literature beginner English
Analytical Chemistry,chemistry,advanced,basic,English,Analytical Chemistry advanced English
Inorganic Chemistry,chemistry,beginner,advanced,Hindi,Inorganic Chemistry beginner Hindi
Swift,programming,beginner,advanced,English,Swift beginner English
Thermodynamics,physics,beginner,advanced,Hindi,Thermodynamics beginner Hindi
Big Data,data science,intermediate,advanced,English,Big Data intermediate English
Organic Chemistry,chemistry,advanced,advanced,Hindi,Organic Chemistry advanced Hindi
Java,programming,advanced,intermediate,Hindi,Java advanced Hindi
Physical Chemistry,chemistry,intermediate,intermediate,Hindi,Physical Chemistry intermediate Hindi
Modern Physics,physics,intermediate,basic,Hindi,Modern Physics intermediate Hindi
Go,programming,advanced,basic,English,Go advanced English
English Literature,literature,beginner,advanced,English,English Literature beginner English
R,programming,advanced,advanced,Hindi,R advanced Hindi
Ancient History,history,intermediate,intermediate,English,Ancient History intermediate English
Poetry,literature,beginner,basic,Hindi,Poetry beginner Hindi
Probability and Statistics,math,advanced,none,Hindi,Probability and Statistics advanced Hindi
Electricity and Magnetism,physics,intermediate,intermediate,Hindi,Electricity and Magnetism intermediate Hindi
English Literature,literature,intermediate,none,Hindi,English Literature intermediate Hindi
Organic Chemistry,chemistry,advanced,none,Hindi,Organic Chemistry advanced Hindi
Python,programming,intermediate,basic,English,Python intermediate English
Modern History,history,intermediate,basic,Hindi,Modern History intermediate Hindi
Physical Chemistry,chemistry,beginner,none,English,Physical Chemistry beginner English
Big Data,data science,beginner,intermediate,Hindi,Big Data beginner Hindi
R,programming,intermediate,none,English,R intermediate English
C++,programming,intermediate,advanced,English,C++ intermediate English
English Literature,literature,intermediate,none,English,English Literature intermediate English
